topic,ai_known_title,ai_known_channel,status
Insertion Sort,Insertion Sort,CS50,DONE
Selection Sort,Selection Sort Algorithm,Abdul Bari,DONE
Binary Search,Binary Search,CS50,DONE
AVL Trees,AVL Tree - Insertion and Rotations,Abdul Bari,DONE
Red-Black Trees,Red Black Tree,Abdul Bari,DONE
Floyd-Warshall Algorithm,Floyd Warshall Algorithm,Abdul Bari,DONE
Bellman-Ford Algorithm,Bellman Ford Algorithm,Abdul Bari,DONE
Disjoint Set Union,Disjoint Set Union,WilliamFiset,DONE
Topological Sort,Topological Sort Algorithm,WilliamFiset,DONE
Fenwick Tree,Fenwick Tree (Binary Indexed Tree),WilliamFiset,DONE
Segment Tree,Segment Tree basics,WilliamFiset,DONE
A* Pathfinding,A* (A Star) Search Algorithm,Computerphile,DONE
Traveling Salesman Problem,Travelling Salesman Problem,Computerphile,DONE
Knapsack Problem,0/1 Knapsack Problem,Abdul Bari,DONE
Matrix Chain Multiplication,Matrix Chain Multiplication,Abdul Bari,DONE
HTML Basics,Learn HTML in 12 Minutes,Web Dev Simplified,DONE
CSS Basics,Learn CSS in 20 Minutes,Web Dev Simplified,DONE
CSS Positioning,CSS Positioning Explained,Kevin Powell,DONE
CSS Animations,CSS Animations Tutorial,Kevin Powell,DONE
CSS Variables,CSS custom properties (variables),Kevin Powell,DONE
JavaScript Variables,JavaScript Variables - var let const,Web Dev Simplified,DONE
JavaScript Promises,JavaScript Promises In 10 Minutes,Web Dev Simplified,DONE
JavaScript Async Await,JavaScript Async Await,Web Dev Simplified,DONE
JavaScript Closures,Learn Closures In 7 Minutes,Web Dev Simplified,DONE
JavaScript Array Methods,8 Must Know JavaScript Array Methods,Web Dev Simplified,DONE
React useState Hook,Learn useState In 15 Minutes,Web Dev Simplified,DONE
React useRef Hook,Learn useRef in 11 Minutes,Web Dev Simplified,DONE
React useContext Hook,Learn useContext In 13 Minutes,Web Dev Simplified,DONE
React useMemo Hook,Learn useMemo In 10 Minutes,Web Dev Simplified,DONE
React useCallback Hook,Learn useCallback In 8 Minutes,Web Dev Simplified,DONE
Next.js App Router,Next.js App Router Crash Course,Codevolution,DONE
Tailwind CSS,Learn Tailwind CSS In 15 Minutes,Web Dev Simplified,DONE
TypeScript Basics,Learn TypeScript in 15 Minutes,Web Dev Simplified,DONE
TypeScript Generics,TypeScript Generics,Web Dev Simplified,DONE
Webpack Explained,Webpack Crash Course,Traversy Media,DONE
Svelte Basics,Svelte Crash Course,Traversy Media,DONE
Web Accessibility,Web Accessibility Basics,Kevin Powell,DONE
Service Workers,Service Workers Crash Course,Traversy Media,DONE
WebSockets,WebSockets Crash Course,Hussein Nasser,DONE
CAP Theorem,CAP Theorem,ByteByteGo,DONE
Redis Caching,Redis Crash Course,Hussein Nasser,DONE
Content Delivery Networks,What is a CDN?,Hussein Nasser,DONE
Rate Limiting,Rate Limiting,ByteByteGo,DONE
Forward vs Reverse Proxy,Forward Proxy vs Reverse Proxy,Hussein Nasser,DONE
Load Balancing,Load Balancing,Hussein Nasser,DONE
Database Sharding,Database Sharding,ByteByteGo,DONE
Message Queues,Message Queues,ByteByteGo,DONE
Apache Kafka Architecture,Apache Kafka in 15 mins,TechWorld with Nana,DONE
RabbitMQ,RabbitMQ Crash Course,Hussein Nasser,DONE
gRPC,gRPC Crash Course,Hussein Nasser,DONE
GraphQL,GraphQL Tutorial for Beginners,Programming with Mosh,DONE
Microservices Architecture,Microservices Explained,TechWorld with Nana,DONE
CI/CD Pipeline,CI/CD Pipeline Explained,TechWorld with Nana,DONE
Terraform Basics,Terraform explained in 15 mins,TechWorld with Nana,DONE
Ansible Basics,Ansible explained in 15 mins,TechWorld with Nana,DONE
Prometheus Monitoring,Prometheus Monitoring Explained,TechWorld with Nana,DONE
Grafana,Grafana Tutorial,TechWorld with Nana,DONE
Nginx,NGINX Crash Course,Hussein Nasser,DONE
ACID Properties,ACID Properties of Database Transactions,Hussein Nasser,DONE
Database Indexing,Database Indexing Explained,Hussein Nasser,DONE
PostgreSQL Architecture,PostgreSQL Crash Course,Hussein Nasser,DONE
MongoDB Architecture,MongoDB Crash Course,Hussein Nasser,DONE
WebRTC,WebRTC Crash Course,Hussein Nasser,DONE
Server-Sent Events,Server Sent Events,Hussein Nasser,DONE
Linear Regression,Linear Regression,StatQuest with Josh Starmer,DONE
Logistic Regression,Logistic Regression,StatQuest with Josh Starmer,DONE
Decision Trees,Decision Trees,StatQuest with Josh Starmer,DONE
Random Forests,Random Forests,StatQuest with Josh Starmer,DONE
Support Vector Machines,Support Vector Machines,StatQuest with Josh Starmer,DONE
K-Nearest Neighbors,K-Nearest Neighbors,StatQuest with Josh Starmer,DONE
K-Means Clustering,K-Means Clustering,StatQuest with Josh Starmer,DONE
Principal Component Analysis,Principal Component Analysis (PCA),StatQuest with Josh Starmer,DONE
Gradient Descent,Gradient descent how neural networks learn,3Blue1Brown,DONE
Backpropagation,What is backpropagation really doing?,3Blue1Brown,DONE
Dot Products,Dot products | Essence of linear algebra,3Blue1Brown,DONE
Cross Products,Cross products | Essence of linear algebra,3Blue1Brown,DONE
Determinants,The determinant | Essence of linear algebra,3Blue1Brown,DONE
Inverse Matrices,Inverse matrices column space and null space,3Blue1Brown,DONE
Limits,Introduction to limits,Khan Academy,DONE
Derivatives,The paradox of the derivative,3Blue1Brown,DONE
Integrals,Integration and the fundamental theorem of calculus,3Blue1Brown,DONE
Chain Rule,Visualizing the chain rule and product rule,3Blue1Brown,DONE
Convolutional Neural Networks,Convolutional Neural Networks,StatQuest with Josh Starmer,DONE
Attention Mechanism,The Attention Mechanism,StatQuest with Josh Starmer,DONE
Transformers,Transformer Neural Networks - EXPLAINED!,StatQuest with Josh Starmer,DONE
Word Embeddings,Word Embeddings,StatQuest with Josh Starmer,DONE
Recurrent Neural Networks,Recurrent Neural Networks,StatQuest with Josh Starmer,DONE
LSTMs,Long Short-Term Memory (LSTM),StatQuest with Josh Starmer,DONE
Bayes Theorem,The math trick that helps with medical tests,3Blue1Brown,DONE
Python Decorators,Python Tutorial: Decorators,Corey Schafer,DONE
Python Generators,Python Tutorial: Generators,Corey Schafer,DONE
Python Context Managers,Python Tutorial: Context Managers,Corey Schafer,DONE
Python Dataclasses,Python Data Classes,ArjanCodes,DONE
Python Threading,Python Threading Tutorial,Corey Schafer,DONE
Python Multiprocessing,Python Multiprocessing Tutorial,Corey Schafer,DONE
Python OOP Classes,Python OOP Tutorial 1: Classes and Instances,Corey Schafer,DONE
Python OOP Inheritance,Python OOP Tutorial 4: Inheritance,Corey Schafer,DONE
Python Dunder Methods,Python OOP Tutorial 5: Special (Magic/Dunder) Methods,Corey Schafer,DONE
SOLID Principles,SOLID Principles,Web Dev Simplified,DONE
Singleton Pattern,Singleton Design Pattern,Web Dev Simplified,DONE
Factory Pattern,Factory Design Pattern,Web Dev Simplified,DONE
Observer Pattern,Observer Design Pattern,Web Dev Simplified,DONE
Strategy Pattern,Strategy Design Pattern,Web Dev Simplified,DONE
Dependency Inversion,Dependency Inversion Principle,Web Dev Simplified,DONE
IP Addresses,IP Addresses and Subnetting,NetworkChuck,DONE
Subnetting,Subnetting is simple,NetworkChuck,DONE
DNS (Domain Name System),How DNS Works,Computerphile,DONE
TCP 3-Way Handshake,TCP 3-Way Handshake,Hussein Nasser,DONE
UDP vs TCP,TCP vs UDP,Hussein Nasser,DONE
BGP (Border Gateway Protocol),BGP Routing Protocol Tutorial,Practical Networking,DONE
Public Key Cryptography,Public Key Cryptography,Computerphile,DONE
Hashing vs Encryption,Hashing Algorithms and Security,Computerphile,DONE
Symmetric vs Asymmetric Encryption,Symmetric vs Asymmetric Cryptography,Computerphile,DONE
SQL Injection,SQL Injection Attack,Computerphile,DONE
Cross-Site Scripting (XSS),Cross Site Scripting (XSS),Computerphile,DONE
Cross-Site Request Forgery (CSRF),Cross-Site Request Forgery (CSRF),Hussein Nasser,DONE
Buffer Overflow,Buffer Overflows,Computerphile,DONE
Man in the Middle Attack,Man in the Middle Attack,Computerphile,DONE
Zero Day Vulnerability,Zero Day Vulnerabilities,Computerphile,DONE
AWS EC2,AWS EC2 Tutorial,TechWorld with Nana,DONE
AWS S3,AWS S3 Tutorial,TechWorld with Nana,DONE
AWS Lambda,AWS Lambda Tutorial,TechWorld with Nana,DONE
Docker Compose,Docker Compose Tutorial,TechWorld with Nana,DONE
Kubernetes Pods,Kubernetes Pods Explained,TechWorld with Nana,DONE
Kubernetes Services,Kubernetes Services Explained,TechWorld with Nana,DONE
Kubernetes Ingress,Kubernetes Ingress Explained,TechWorld with Nana,DONE
Helm Charts,Helm Charts Explained,TechWorld with Nana,DONE
GitHub Actions,GitHub Actions Tutorial,TechWorld with Nana,DONE
GitLab CI,GitLab CI CD Pipeline,TechWorld with Nana,DONE
C++ Setup,How C++ Works,The Cherno,DONE
C++ Pointers,Pointers in C++,The Cherno,DONE
C++ References,References in C++,The Cherno,DONE
C++ Classes vs Structs,Classes vs Structs in C++,The Cherno,DONE
C++ Virtual Functions,Virtual Functions in C++,The Cherno,DONE
C++ Templates,Templates in C++,The Cherno,DONE
C++ Smart Pointers,Smart Pointers in C++,The Cherno,DONE
Stack vs Heap Memory,Stack vs Heap,Jacob Sorber,DONE
Mutexes,What is a Mutex?,Jacob Sorber,DONE
Semaphores,Mutex vs Semaphore,Jacob Sorber,DONE
Threads in C,Pthreads in C,Jacob Sorber,DONE
Rust Enums,Rust Enums,Let's Get Rusty,DONE
Rust Traits,Rust Traits,Let's Get Rusty,DONE
Rust Error Handling,Rust Error Handling,Let's Get Rusty,DONE
Rust Macros,Rust Macros,Let's Get Rusty,DONE
Go Goroutines,Golang Goroutines,TechWorld with Nana,DONE
Go Channels,Golang Channels,TechWorld with Nana,DONE
Go Interfaces,Golang Interfaces,TechWorld with Nana,DONE
Git Rebase Interactive,Interactive Rebase,Atlassian,DONE
Git Stash,Git Stash,Atlassian,DONE
Bash Scripting,Bash Scripting Tutorial,Corey Schafer,DONE
Vim Basics,Vim Tutorial,Ben Awad,DONE
Tmux,Tmux Tutorial,IAmTimCorey,DONE
Normal Distribution,The Normal Distribution,StatQuest with Josh Starmer,DONE
P-values,p-values,StatQuest with Josh Starmer,DONE
T-tests,t-tests,StatQuest with Josh Starmer,DONE
ANOVA,ANOVA,StatQuest with Josh Starmer,DONE
R-squared,R-squared,StatQuest with Josh Starmer,DONE
Ridge Regression,Ridge Regression,StatQuest with Josh Starmer,DONE
Lasso Regression,Lasso Regression,StatQuest with Josh Starmer,DONE
Elastic Net,Elastic Net,StatQuest with Josh Starmer,DONE
Gradient Boosting,Gradient Boosting,StatQuest with Josh Starmer,DONE
XGBoost,XGBoost,StatQuest with Josh Starmer,DONE
Naive Bayes,Naive Bayes,StatQuest with Josh Starmer,DONE
Confusion Matrix,Confusion Matrix,StatQuest with Josh Starmer,DONE
ROC and AUC,ROC and AUC,StatQuest with Josh Starmer,DONE
Autoencoders,Autoencoders,StatQuest with Josh Starmer,DONE
Reinforcement Learning,Q-Learning Explained,StatQuest with Josh Starmer,DONE
Limits (Epsilon Delta),Formal definition of limits,3Blue1Brown,DONE
Higher Order Derivatives,Higher order derivatives,3Blue1Brown,DONE
Implicit Differentiation,Implicit differentiation,3Blue1Brown,DONE
Exponential Derivatives,What's so special about Euler's number e?,3Blue1Brown,DONE
Taylor Series,Taylor series,3Blue1Brown,DONE
Multivariable Calculus,Multivariable calculus,Khan Academy,DONE
Divergence and Curl,Divergence and curl,3Blue1Brown,DONE
Differential Equations,Differential equations,3Blue1Brown,DONE
Heat Equation,The Heat Equation,3Blue1Brown,DONE
Fourier Series,Fourier series,3Blue1Brown,DONE
Laplace Transform,The Laplace Transform,3Blue1Brown,DONE
Quaternions,Quaternions,3Blue1Brown,DONE
Server Side Rendering (SSR),Server Side Rendering,Web Dev Simplified,DONE
Static Site Generation (SSG),Static Site Generation,Web Dev Simplified,DONE
Single Page Applications (SPA),Single Page Applications,Web Dev Simplified,DONE
Microfrontends,Micro Frontends,Jack Herrington,DONE
Webhooks,Webhooks Explained,Hussein Nasser,DONE
CPU Architecture,CPU Architecture,CrashCourse,DONE
Arithmetic Logic Unit,ALU,CrashCourse,DONE
RAM and Registers,Registers and RAM,CrashCourse,DONE
Virtual Memory,Virtual Memory,Neso Academy,DONE
Memory Paging,Paging in OS,Neso Academy,DONE
CPU Scheduling,CPU Scheduling,Neso Academy,DONE
Multithreading,Multithreading in OS,Neso Academy,DONE
Binary Numbers,Binary Numbers,CrashCourse,DONE
Logic Gates,Logic Gates,CrashCourse,DONE
LSM Trees,LSM Trees,Hussein Nasser,DONE
Write-Ahead Logging (WAL),Write Ahead Logging,Hussein Nasser,DONE
Database Triggers,Database Triggers,Hussein Nasser,DONE
Stored Procedures,Stored Procedures,Hussein Nasser,DONE
Materialized Views,Materialized Views,Hussein Nasser,DONE
Database Normalization,Database Normalization,Neso Academy,DONE
First Normal Form (1NF),First Normal Form,Neso Academy,DONE
Second Normal Form (2NF),Second Normal Form,Neso Academy,DONE
Vector Databases,Vector Databases Explained,IBM Technology,DONE
Graph Databases,Graph Databases Explained,IBM Technology,DONE
Time Series Databases,Time Series Databases Explained,Hussein Nasser,DONE
Unity Basics,Unity Tutorial for Beginners,Brackeys,DONE
Godot Basics,Godot Tutorial for Beginners,Brackeys,DONE
C# in Unity,How to program in C# Unity,Brackeys,DONE
Raymarching,Ray Marching,Sebastian Lague,DONE
Boids Algorithm,Boids Flocking Simulation,Sebastian Lague,DONE
Perlin Noise,Perlin Noise,Sebastian Lague,DONE
Marching Cubes,Marching Cubes,Sebastian Lague,DONE
OpenGL Setup,Welcome to OpenGL,The Cherno,DONE
OpenGL Shaders,Shaders in OpenGL,The Cherno,DONE
Ohm's Law,Ohm's Law,ElectroBOOM,DONE
Capacitors,Capacitors Explained,ElectroBOOM,DONE
Inductors,Inductors Explained,ElectroBOOM,DONE
Transistors,How Transistors Work,Veritasium,DONE
Diodes,Diodes Explained,ElectroBOOM,DONE
Op-Amps,Operational Amplifiers,EEVblog,DONE
Kirchhoff's Laws,Kirchhoff's Laws,Khan Academy,DONE
Kotlin Coroutines,Kotlin Coroutines,Philipp Lackner,DONE
Jetpack Compose,Jetpack Compose Tutorial,Philipp Lackner,DONE
SwiftUI Basics,SwiftUI Tutorial,Sean Allen,DONE
React Native Basics,React Native Crash Course,Traversy Media,DONE
Flutter Basics,Flutter Crash Course,Traversy Media,DONE
Android Room Database,Room Database Tutorial,Philipp Lackner,DONE
Large Language Models,Intro to Large Language Models,Andrej Karpathy,DONE
RAG (Retrieval-Augmented Generation),What is RAG?,IBM Technology,DONE
Vector Embeddings,Vector Embeddings,IBM Technology,DONE
Fine-Tuning LLMs,Fine Tuning LLMs,IBM Technology,DONE
Prompt Engineering,Prompt Engineering Tutorial,IBM Technology,DONE
Diffusion Models,How AI Image Generators Work,Computerphile,DONE
LoRA (Low-Rank Adaptation),LoRA Explained,Yannic Kilcher,DONE
MLOps,MLOps Explained,IBM Technology,DONE
Domain-Driven Design,Domain Driven Design,CodeOpinion,DONE
Event Sourcing,Event Sourcing,CodeOpinion,DONE
CQRS Pattern,CQRS,CodeOpinion,DONE
Hexagonal Architecture,Hexagonal Architecture,CodeOpinion,DONE
MVC Pattern (Model-View-Controller),MVC Pattern,Web Dev Simplified,DONE
SOLID - Single Responsibility,Single Responsibility Principle,Web Dev Simplified,DONE
SOLID - Open Closed,Open Closed Principle,Web Dev Simplified,DONE
SOLID - Liskov Substitution,Liskov Substitution Principle,Web Dev Simplified,DONE
SOLID - Interface Segregation,Interface Segregation Principle,Web Dev Simplified,DONE
Convolutional Filters,Convolutions in Computer Vision,Computerphile,DONE
Edge Detection,Edge Detection,Computerphile,DONE
Hough Transform,Hough Transform,Computerphile,DONE
Data Warehouses vs Data Lakes,Data Warehouse vs Data Lake,IBM Technology,DONE
ETL Pipelines,ETL Pipeline Explained,IBM Technology,DONE
Hadoop Architecture,Hadoop Architecture,Simplilearn,DONE
Parquet Files,Parquet File Format,Hussein Nasser,DONE
Snowflake Data Warehouse,Snowflake Data Warehouse Explained,Seattle Data Guy,DONE
Node.js Event Loop,Node.js Event Loop,Hussein Nasser,DONE
JavaScript Generators,JavaScript Generators,Web Dev Simplified,DONE
JavaScript Maps vs Objects,Map vs Object in JavaScript,Web Dev Simplified,DONE
Web Workers,Web Workers,Hussein Nasser,DONE
V8 JavaScript Engine,V8 Engine Architecture,Hussein Nasser,DONE
Prototypes in JavaScript,JavaScript Prototypes,Web Dev Simplified,DONE
JavaScript Call Apply Bind,Call Apply Bind in JavaScript,Web Dev Simplified,DONE
JavaScript Modules,JavaScript Modules,Web Dev Simplified,DONE
Blockchain Mechanics,But how does bitcoin actually work?,3Blue1Brown,DONE
RSA Encryption,RSA Encryption,Computerphile,DONE
Elliptic Curve Cryptography,Elliptic Curve Cryptography,Computerphile,DONE
Diffie-Hellman Key Exchange,Diffie Hellman Key Exchange,Computerphile,DONE
SHA-256 Hashing,SHA-256 Hashing,Computerphile,DONE
Digital Signatures,Digital Signatures,Computerphile,DONE
SSL/TLS Handshake,SSL/TLS Handshake,Hussein Nasser,DONE
Vagrant,Vagrant Tutorial,TechWorld with Nana,DONE
SonarQube,SonarQube Tutorial,TechWorld with Nana,DONE
Splunk,Splunk Tutorial,TechWorld with Nana,DONE
Istio Service Mesh,Istio Service Mesh Explained,TechWorld with Nana,DONE
ArgoCD,ArgoCD Tutorial,TechWorld with Nana,DONE
HashiCorp Vault,HashiCorp Vault Tutorial,TechWorld with Nana,DONE
Puppet,Puppet Tutorial,TechWorld with Nana,DONE
Chef,Chef Tutorial,TechWorld with Nana,DONE
Vue.js Basics,Vue 3 Crash Course,Web Dev Simplified,DONE
Kotlin Basics,Kotlin Tutorial for Beginners - Getting Started with Kotlin,ProgrammingKnowledge,DONE
Swift Basics,Swift Programming Tutorial,Derek Banas,DONE
Apache Spark,Apache Spark Architecture,Defog Tech,DONE
Apache Airflow,Intro To Apache Airflow,Seattle Data Guy,DONE
Binomial Distribution,Binomial Distribution,StatQuest with Josh Starmer,DONE
Poisson Distribution,Poisson Distribution,StatQuest with Josh Starmer,DONE
Exponential Distribution,Exponential Distribution,jbstatistics,DONE
Maximum Likelihood Estimation (MLE),Maximum Likelihood For the Binomial Distribution,StatQuest with Josh Starmer,DONE
A/B Testing,A/B Testing,StatQuest with Josh Starmer,DONE
Chi-Square Test,Chi-Square Test,StatQuest with Josh Starmer,DONE
Student's t-Distribution,t-Distribution,StatQuest with Josh Starmer,DONE
Central Limit Theorem,Central Limit Theorem,StatQuest with Josh Starmer,DONE
Law of Large Numbers,Law of large numbers,Khan Academy,DONE
Z-Scores,Z-Scores,StatQuest with Josh Starmer,DONE
Markov Chains,Markov Chains Clearly Explained,normalized nerd,DONE
Markov Chain Monte Carlo (MCMC),Markov Chain Monte Carlo,ritvikmath,DONE
Entropy (Information Theory),Entropy,3Blue1Brown,DONE
Cross-Entropy,Cross Entropy,StatQuest with Josh Starmer,DONE
KL Divergence,KL Divergence,ritvikmath,DONE
Singular Value Decomposition (SVD),Singular Value Decomposition (SVD),Steve Brunton,DONE
LU Decomposition,LU Decomposition,Steve Brunton,DONE
Lagrange Multipliers,Lagrange multipliers,Khan Academy,DONE
Jacobian Matrix,The Jacobian,Khan Academy,DONE
Hessian Matrix,The Hessian,Khan Academy,DONE
Tensors,What is a Tensor?,Dan Fleisch,DONE
Gram-Schmidt Process,Gram-Schmidt,Khan Academy,DONE
Fast Fourier Transform (FFT),Fast Fourier Transform (FFT),Steve Brunton,DONE
Calculus of Variations,Calculus of Variations,Steve Brunton,DONE
AdaBoost,AdaBoost,StatQuest with Josh Starmer,DONE
t-SNE,t-SNE,StatQuest with Josh Starmer,DONE
UMAP,UMAP,StatQuest with Josh Starmer,DONE
Linear Discriminant Analysis (LDA),Linear Discriminant Analysis,StatQuest with Josh Starmer,DONE
DBSCAN,DBSCAN,StatQuest with Josh Starmer,DONE
Hierarchical Clustering,Hierarchical Clustering,StatQuest with Josh Starmer,DONE
Gaussian Mixture Models,Gaussian Mixture Models,StatQuest with Josh Starmer,DONE
Expectation-Maximization (EM),EM Algorithm,ritvikmath,DONE
Cross-Validation,Cross Validation,StatQuest with Josh Starmer,DONE
Precision and Recall,Precision and Recall,StatQuest with Josh Starmer,DONE
F1 Score,F1 Score,StatQuest with Josh Starmer,DONE
Batch Normalization,Batch Normalization,DeepLearningAI,DONE
Layer Normalization,Layer Normalization,DeepLearningAI,DONE
Adam Optimizer,Adam Optimizer,DeepLearningAI,DONE
RMSprop,RMSprop,DeepLearningAI,DONE
Dropout,Dropout in Neural Networks,DeepLearningAI,DONE
Transfer Learning,Transfer Learning,DeepLearningAI,DONE
Weight Initialization,Weight Initialization,DeepLearningAI,DONE
Vanishing Gradients,Vanishing Gradients,DeepLearningAI,DONE
ResNet,ResNet,DeepLearningAI,DONE
Inception Network,Inception Network,DeepLearningAI,DONE
Word2Vec,Word2Vec,StatQuest with Josh Starmer,DONE
GloVe,GloVe Word Embeddings,DeepLearningAI,DONE
Seq2Seq Models,Sequence to Sequence,DeepLearningAI,DONE
Variational Autoencoders (VAEs),Variational Autoencoders,Arxiv Insights,DONE
Vision Transformers,Vision Transformer (ViT),Yannic Kilcher,DONE
BERT,BERT Neural Network,Yannic Kilcher,DONE
GPT Architecture,GPT-3,Yannic Kilcher,DONE
Stable Diffusion,How Stable Diffusion Works,Computerphile,DONE
Self-Attention,Self-Attention,StatQuest with Josh Starmer,DONE
Reinforcement Learning from Human Feedback (RLHF),RLHF,Hugging Face,DONE
Introduction to CUDA,CUDA Tutorial 1,CoffeeBeforeArch,DONE
CUDA Thread Hierarchy,CUDA Threads and Blocks,CoffeeBeforeArch,DONE
CUDA Shared Memory,CUDA Shared Memory,CoffeeBeforeArch,DONE
CUDA Global Memory,CUDA Global Memory,CoffeeBeforeArch,DONE
CUDA Memory Coalescing,Memory Coalescing in CUDA,CoffeeBeforeArch,DONE
CUDA Warp Divergence,Warp Divergence in CUDA,CoffeeBeforeArch,DONE
CUDA Matrix Multiplication,Matrix Multiplication in CUDA,CoffeeBeforeArch,DONE
CUDA Parallel Reduction,Parallel Reduction in CUDA,CoffeeBeforeArch,DONE
Tensor Cores,NVIDIA Tensor Cores Explained,NVIDIA Developer,DONE
CUDA Streams,CUDA Streams,CoffeeBeforeArch,DONE
CUDA Unified Memory,CUDA Unified Memory,CoffeeBeforeArch,DONE
cuBLAS Tutorial,cuBLAS Tutorial,CoffeeBeforeArch,DONE
Simultaneous Localization and Mapping (SLAM),SLAM,Cyrill Stachniss,DONE
Optical Flow,Optical Flow Explained,Visually Explained,DONE
Camera Calibration,Camera Calibration,Cyrill Stachniss,DONE
Epipolar Geometry,Epipolar Geometry,Cyrill Stachniss,DONE
PID Controller,PID Controller,MATLAB,DONE
Linear Quadratic Regulator (LQR),Linear Quadratic Regulator (LQR),Steve Brunton,DONE
Model Predictive Control (MPC),Model Predictive Control,MATLAB,DONE
Kalman Filter,Kalman Filter,MATLAB,DONE
Extended Kalman Filter,Extended Kalman Filter,MATLAB,DONE
Markov Decision Processes (MDPs),Markov Decision Processes,David Silver,DONE
Bellman Equation,Bellman Equation,ritvikmath,DONE
Deep Q-Networks (DQN),Deep Q-Learning,Hugging Face,DONE
Policy Gradients,Policy Gradients,Hugging Face,DONE
Proximal Policy Optimization (PPO),Proximal Policy Optimization,Hugging Face,DONE
Actor-Critic Methods,Actor Critic,Hugging Face,DONE
Monte Carlo Tree Search (MCTS),Monte Carlo Tree Search,John Levine,DONE
Introduction to Qubits,Qubits,Qiskit,DONE
Quantum Superposition,Superposition,Qiskit,DONE
CNOT Gate,CNOT Gate,Quantum Intuition,DONE
Shor's Algorithm,Shor's Algorithm,MinutePhysics,DONE
Grover's Algorithm,Grover's Algorithm,Qiskit,DONE
Raft Consensus Algorithm,Raft Consensus Algorithm,Hussein Nasser,DONE
Paxos Consensus,Paxos Algorithm,InfoQ,DONE
Vector Clocks,Vector Clocks,Martin Kleppmann,DONE
CRDTs (Conflict-free Replicated Data Types),CRDTs,Martin Kleppmann,DONE
Bloom Filters,Bloom Filters,ByteByteGo,DONE
Count-Min Sketch,Count-Min Sketch,ByteByteGo,DONE
HyperLogLog,HyperLogLog,ByteByteGo,DONE
Garbage Collection Algorithms,Garbage Collection,Hussein Nasser,DONE
eBPF (Extended Berkeley Packet Filter),eBPF Explained,ByteByteGo,DONE
Smart Contracts,Smart Contracts Explained,Finematics,DONE
Proof of Work vs Proof of Stake,Proof of Work vs Proof of Stake,Whiteboard Crypto,DONE
Zero-Knowledge Proofs,Zero Knowledge Proofs,Finematics,DONE
zk-SNARKs,zk-SNARKs,Whiteboard Crypto,DONE
Merkle Trees,Merkle Trees,Whiteboard Crypto,DONE
IPFS (InterPlanetary File System),IPFS Explained,Finematics,DONE
Sequence Alignment (Needleman-Wunsch),Needleman-Wunsch Algorithm,ritvikmath,DONE
Hidden Markov Models (HMMs),Hidden Markov Models,ritvikmath,DONE
FPGA Architecture,What is an FPGA?,Branch Education,DONE
Verilog Basics,Verilog Tutorial,Neso Academy,DONE
RISC-V Architecture,RISC-V Architecture,Computerphile,DONE
Instruction Pipelining,Pipelining in Computer Architecture,Neso Academy,DONE
Cache Coherence (MESI),Cache Coherence,Neso Academy,DONE
